course_id,title,description,category,level
150,Recommender Systems - Part 6,"Build recommendation systems using collaborative filtering, content-based methods and embeddings.",Machine Learning,Advanced
151,Deep Learning Fundamentals - Part 7,"Learn neural networks, backpropagation, optimization, CNNs and deep learning concepts.",Deep Learning,Beginner
152,Advanced Deep Learning - Part 7,"Study advanced neural network architectures, representation learning and optimization techniques.",Deep Learning,Advanced
153,PyTorch for Beginners - Part 7,"Learn PyTorch tensors, datasets, neural networks, training loops and model evaluation.",PyTorch,Beginner
154,PyTorch Deep Learning - Part 7,"Build deep learning models using PyTorch including CNNs, RNNs and transfer learning.",PyTorch,Intermediate
155,Computer Vision with PyTorch - Part 7,Develop image classification and object detection systems using PyTorch.,Computer Vision,Intermediate
156,Natural Language Processing - Part 7,"Learn text processing, embeddings, classification, sentiment analysis and NLP models.",NLP,Intermediate
157,Machine Learning Fundamentals - Part 7,"Learn supervised learning, unsupervised learning, regression, classification and clustering.",Machine Learning,Beginner
158,TensorFlow Fundamentals - Part 7,Build and train neural networks using TensorFlow and Keras.,TensorFlow,Beginner
159,Python Programming - Part 7,"Learn Python programming, variables, functions, classes, modules and file handling.",Programming,Beginner
160,Data Science with Python - Part 7,"Learn Python, pandas, NumPy, visualization and machine learning for data science.",Data Science,Intermediate
161,Artificial Intelligence - Part 7,"Explore artificial intelligence, intelligent agents, search algorithms and machine learning.",Artificial Intelligence,Beginner
162,Reinforcement Learning - Part 7,"Learn agents, rewards, policies, value functions and reinforcement learning algorithms.",AI,Advanced
163,Generative AI - Part 7,"Learn generative artificial intelligence, language models, prompting and AI applications.",Generative AI,Intermediate
164,Large Language Models - Part 7,"Understand transformers, language models, embeddings and large language model applications.",Generative AI,Advanced
165,Transformers and NLP - Part 7,"Learn transformer architectures, attention mechanisms and modern NLP applications.",NLP,Advanced
166,Data Analytics - Part 7,"Learn data analysis, visualization, statistics and practical analytical techniques.",Data Analytics,Beginner
167,SQL for Data Science - Part 7,"Learn SQL queries, joins, aggregation, filtering and database analysis.",Database,Beginner
168,Cloud Computing - Part 7,"Learn cloud platforms, virtualization, storage, networking and cloud application development.",Cloud,Intermediate
169,Computer Networks - Part 7,"Understand networking protocols, TCP/IP, routing, switching and network security.",Networking,Intermediate
170,Cyber Security Fundamentals - Part 7,"Learn authentication, encryption, vulnerabilities, security principles and cyber defense.",Cyber Security,Beginner
171,Statistics for Machine Learning - Part 7,"Learn probability, statistics, distributions and statistical methods used in machine learning.",Statistics,Intermediate
172,MLOps Fundamentals - Part 7,"Learn machine learning deployment, model monitoring, pipelines and production workflows.",MLOps,Advanced
173,AI Ethics - Part 7,"Explore responsible AI, fairness, transparency, privacy and ethical machine learning.",AI Ethics,Beginner
174,Time Series Forecasting - Part 7,"Learn forecasting, trends, seasonality and predictive models for time series data.",Data Science,Intermediate
175,Recommender Systems - Part 7,"Build recommendation systems using collaborative filtering, content-based methods and embeddings.",Machine Learning,Advanced
176,Deep Learning Fundamentals - Part 8,"Learn neural networks, backpropagation, optimization, CNNs and deep learning concepts.",Deep Learning,Beginner
177,Advanced Deep Learning - Part 8,"Study advanced neural network architectures, representation learning and optimization techniques.",Deep Learning,Advanced
178,PyTorch for Beginners - Part 8,"Learn PyTorch tensors, datasets, neural networks, training loops and model evaluation.",PyTorch,Beginner
179,PyTorch Deep Learning - Part 8,"Build deep learning models using PyTorch including CNNs, RNNs and transfer learning.",PyTorch,Intermediate
180,Computer Vision with PyTorch - Part 8,Develop image classification and object detection systems using PyTorch.,Computer Vision,Intermediate
181,Natural Language Processing - Part 8,"Learn text processing, embeddings, classification, sentiment analysis and NLP models.",NLP,Intermediate
182,Machine Learning Fundamentals - Part 8,"Learn supervised learning, unsupervised learning, regression, classification and clustering.",Machine Learning,Beginner
183,TensorFlow Fundamentals - Part 8,Build and train neural networks using TensorFlow and Keras.,TensorFlow,Beginner
184,Python Programming - Part 8,"Learn Python programming, variables, functions, classes, modules and file handling.",Programming,Beginner
185,Data Science with Python - Part 8,"Learn Python, pandas, NumPy, visualization and machine learning for data science.",Data Science,Intermediate
186,Artificial Intelligence - Part 8,"Explore artificial intelligence, intelligent agents, search algorithms and machine learning.",Artificial Intelligence,Beginner
187,Reinforcement Learning - Part 8,"Learn agents, rewards, policies, value functions and reinforcement learning algorithms.",AI,Advanced
188,Generative AI - Part 8,"Learn generative artificial intelligence, language models, prompting and AI applications.",Generative AI,Intermediate
189,Large Language Models - Part 8,"Understand transformers, language models, embeddings and large language model applications.",Generative AI,Advanced
190,Transformers and NLP - Part 8,"Learn transformer architectures, attention mechanisms and modern NLP applications.",NLP,Advanced
191,Data Analytics - Part 8,"Learn data analysis, visualization, statistics and practical analytical techniques.",Data Analytics,Beginner
192,SQL for Data Science - Part 8,"Learn SQL queries, joins, aggregation, filtering and database analysis.",Database,Beginner
193,Cloud Computing - Part 8,"Learn cloud platforms, virtualization, storage, networking and cloud application development.",Cloud,Intermediate
194,Computer Networks - Part 8,"Understand networking protocols, TCP/IP, routing, switching and network security.",Networking,Intermediate
195,Cyber Security Fundamentals - Part 8,"Learn authentication, encryption, vulnerabilities, security principles and cyber defense.",Cyber Security,Beginner
196,Statistics for Machine Learning - Part 8,"Learn probability, statistics, distributions and statistical methods used in machine learning.",Statistics,Intermediate
197,MLOps Fundamentals - Part 8,"Learn machine learning deployment, model monitoring, pipelines and production workflows.",MLOps,Advanced
198,AI Ethics - Part 8,"Explore responsible AI, fairness, transparency, privacy and ethical machine learning.",AI Ethics,Beginner
199,Time Series Forecasting - Part 8,"Learn forecasting, trends, seasonality and predictive models for time series data.",Data Science,Intermediate
200,Recommender Systems - Part 8,"Build recommendation systems using collaborative filtering, content-based methods and embeddings.",Machine Learning,Advanced
201,Deep Learning Fundamentals - Part 9,"Learn neural networks, backpropagation, optimization, CNNs and deep learning concepts.",Deep Learning,Beginner
202,Advanced Deep Learning - Part 9,"Study advanced neural network architectures, representation learning and optimization techniques.",Deep Learning,Advanced
203,PyTorch for Beginners - Part 9,"Learn PyTorch tensors, datasets, neural networks, training loops and model evaluation.",PyTorch,Beginner
204,PyTorch Deep Learning - Part 9,"Build deep learning models using PyTorch including CNNs, RNNs and transfer learning.",PyTorch,Intermediate
205,Computer Vision with PyTorch - Part 9,Develop image classification and object detection systems using PyTorch.,Computer Vision,Intermediate
206,Natural Language Processing - Part 9,"Learn text processing, embeddings, classification, sentiment analysis and NLP models.",NLP,Intermediate
207,Machine Learning Fundamentals - Part 9,"Learn supervised learning, unsupervised learning, regression, classification and clustering.",Machine Learning,Beginner
208,TensorFlow Fundamentals - Part 9,Build and train neural networks using TensorFlow and Keras.,TensorFlow,Beginner
209,Python Programming - Part 9,"Learn Python programming, variables, functions, classes, modules and file handling.",Programming,Beginner
210,Data Science with Python - Part 9,"Learn Python, pandas, NumPy, visualization and machine learning for data science.",Data Science,Intermediate
211,Artificial Intelligence - Part 9,"Explore artificial intelligence, intelligent agents, search algorithms and machine learning.",Artificial Intelligence,Beginner
212,Reinforcement Learning - Part 9,"Learn agents, rewards, policies, value functions and reinforcement learning algorithms.",AI,Advanced
213,Generative AI - Part 9,"Learn generative artificial intelligence, language models, prompting and AI applications.",Generative AI,Intermediate
214,Large Language Models - Part 9,"Understand transformers, language models, embeddings and large language model applications.",Generative AI,Advanced
215,Transformers and NLP - Part 9,"Learn transformer architectures, attention mechanisms and modern NLP applications.",NLP,Advanced
216,Data Analytics - Part 9,"Learn data analysis, visualization, statistics and practical analytical techniques.",Data Analytics,Beginner
217,SQL for Data Science - Part 9,"Learn SQL queries, joins, aggregation, filtering and database analysis.",Database,Beginner
218,Cloud Computing - Part 9,"Learn cloud platforms, virtualization, storage, networking and cloud application development.",Cloud,Intermediate
219,Computer Networks - Part 9,"Understand networking protocols, TCP/IP, routing, switching and network security.",Networking,Intermediate
220,Cyber Security Fundamentals - Part 9,"Learn authentication, encryption, vulnerabilities, security principles and cyber defense.",Cyber Security,Beginner
